gene_id;gene_symbol;gene_description;baseMean;log2FoldChange;lfcSE;pvalue;padj
ENSG00000255348;ENSG00000255348;ENSG00000255348;4,30371138458243e-01;1,86105966442319e+00;0,2018113331795673;4,26079620699805e-19;6,60590223627029e-19
ENSG00000239590;OR1J4;olfactory receptor family 1 subfamily J member 4;1,00391430392445e+00;1,86069336679884e+00;0,1789266005192840;3,17535015059751e-26;5,33139450816256e-26
ENSG00000170006;TMEM154;transmembrane protein 154;2,97345068692612e+02;1,86063584715261e+00;0,0496084845855938;2,96710479754418e-308;1,77737442844653e-307
ENSG00000260394;STUB1-DT;STUB1 divergent transcript;1,21556278736281e+00;1,85927771780663e+00;0,1019428329074242;1,94343457516415e-75;4,63487882075252e-75
ENSG00000257643;ENSG00000257643;ENSG00000257643;1,19204708751154e+00;1,85927296635317e+00;0,1981031948994192;3,32841654783547e-22;5,35828845497183e-22
ENSG00000276002;ENSG00000276002;ENSG00000276002;1,31164789031809e+00;1,85918326367356e+00;0,1421877504974659;1,85756547185483e-40;3,54622911449466e-40
ENSG00000107821;KAZALD1;Kazal type serine peptidase inhibitor domain 1;3,61252923315983e+02;1,85897025537660e+00;0,0470209528668650;0,00000000000000e+00;0,00000000000000e+00
ENSG00000187840;EIF4EBP1;eukaryotic translation initiation factor 4E binding protein 1;1,86310428355124e+03;1,85862205717523e+00;0,0357490898391308;0,00000000000000e+00;0,00000000000000e+00
ENSG00000224479;ENSG00000224479;ENSG00000224479;4,85737385289475e+00;1,85781805016016e+00;0,0720239781963943;6,68721903129660e-148;2,23355907803566e-147
ENSG00000234981;RPL7AP20;ribosomal protein L7a pseudogene 20;5,10717793151784e+00;1,85771981754353e+00;0,0647132631312368;1,65628942614012e-180;6,29541083125785e-180
ENSG00000264365;ENSG00000264365;ENSG00000264365;1,60425938505275e+00;1,85759923927309e+00;0,1045579071980630;2,20809538135968e-71;5,15149270696706e-71
ENSG00000115474;KCNJ13;potassium inwardly rectifying channel subfamily J member 13;4,77431673992365e+00;1,85756276896928e+00;0,1210600033553164;1,52711025787669e-04;1,84793601138456e-04
ENSG00000253919;ENSG00000253919;ENSG00000253919;5,97639611606145e+00;1,85657203491811e+00;0,0694536299979716;3,13181358430307e-156;1,08340380497639e-155
ENSG00000004948;CALCR;calcitonin receptor;4,76370000873945e+00;1,85632223154119e+00;0,1042687719074345;9,27310620488166e-72;2,16860450725985e-71
ENSG00000183770;FOXL2;forkhead box L2;2,96230563170093e+00;1,85622985237346e+00;0,1429151296379122;5,42081618409167e-32;9,62345250399975e-32
