gene_id;gene_symbol;PC1;PC2;PC3;PC4
ENSG00000125851;PCSK2;2,30613533292123e-02;-1,20429665650584e-02;-4,24801511423642e-03;-1,02775618685286e-02
ENSG00000243678;NME2;2,29693704323612e-02;-2,29826868438456e-02;-2,14077096448943e-02;2,11314991209371e-02
ENSG00000180139;ACTA2-AS1;2,28684696310244e-02;-5,56455838599346e-03;5,33696536477918e-03;-1,77436901426598e-03
ENSG00000156218;ADAMTSL3;2,27149550805812e-02;-8,34402345272893e-04;2,88665063563491e-04;-2,00837079613531e-02
ENSG00000243244;STON1;2,25803878376491e-02;-3,11012167754894e-03;4,21680601951666e-03;-8,62559045512060e-03
ENSG00000159433;STARD9;2,25653810069212e-02;-8,12892311480551e-03;4,73842771972538e-03;1,37840661361941e-03
ENSG00000115556;PLCD4;2,24698257348517e-02;-4,65606019824132e-03;-8,62706475646571e-04;-5,11035413152378e-04
ENSG00000239264;TXNDC5;2,23011084587670e-02;-3,54168371522746e-02;-1,42664478897059e-02;1,15035056154371e-02
ENSG00000065325;GLP2R;2,22910797361697e-02;-1,93167842610008e-02;-6,11772389277906e-03;-3,27618721701616e-04
ENSG00000112276;POPDC1;2,22337340908722e-02;-8,16415139052024e-04;1,36215962423613e-04;-1,04126636399861e-02
ENSG00000205307;SAP25;2,22326505188429e-02;-2,52826468427382e-02;-7,78974922839698e-03;1,19270133272632e-02
ENSG00000242616;GNG10;2,22152668099674e-02;-1,70463467272972e-02;-1,89713909435855e-02;1,08786323924955e-02
ENSG00000118407;FILIP1;2,22092215769850e-02;-6,16811629565619e-04;4,30880441654547e-03;-8,04258771192970e-03
ENSG00000121898;CPXM2;2,21835795431411e-02;2,60081171801470e-03;-4,00136078764346e-03;-1,89922947941354e-02
ENSG00000109705;NKX3-2;2,21337709599920e-02;1,44794896343776e-03;-7,67029531024679e-03;-1,33241946014086e-02
ENSG00000176046;NUPR1;2,21318491516521e-02;-1,24872595805766e-02;-1,67425452285089e-02;5,97154241655923e-03
ENSG00000080854;IGSF9B;2,21313632829877e-02;-1,31698137884541e-04;-7,55074960735017e-04;-2,47421817881909e-03
ENSG00000133800;LYVE1;2,21293954859146e-02;-1,69563095692784e-02;-7,13800993953422e-04;-1,81199200508677e-02
ENSG00000156875;MFSD14A;2,21240018046454e-02;-1,85933639292488e-02;-1,04089579767098e-02;1,04922045542555e-02
ENSG00000164106;SCRG1;2,21167344769060e-02;-4,63776608841398e-04;6,31405991609677e-03;-8,76283367164014e-03
ENSG00000198910;L1CAM;2,21126732341147e-02;-4,61857867415715e-03;-7,35602399007684e-03;-1,25974860807271e-02
ENSG00000115274;INO80B;2,20642732453257e-02;-1,95270356935852e-02;-1,01790084792930e-02;1,61830852311751e-02
ENSG00000213533;STIMATE;2,20182187793990e-02;-1,62570532255849e-02;-7,96543185091526e-03;1,03747404190024e-02
ENSG00000111341;MGP;2,20153455807571e-02;-3,17901182918848e-03;-2,88944765045017e-03;-2,20171607421027e-02
ENSG00000010404;IDS;2,20078879879094e-02;-1,54975936607920e-02;-2,56735212009385e-03;4,56957612819184e-03
